iter	Passed	Remaining
471	1993	2229
472	1996	2224
473	2000	2219
474	2004	2215
475	2007	2210
476	2011	2205
477	2014	2200
478	2019	2196
479	2022	2191
480	2026	2186
481	2029	2181
482	2035	2178
483	2038	2173
484	2042	2168
485	2045	2163
486	2050	2159
487	2054	2155
488	2057	2150
489	2061	2145
490	2065	2140
491	2068	2135
492	2072	2130
493	2075	2125
494	2080	2122
495	2083	2117
496	2086	2112
497	2090	2107
498	2094	2103
499	2098	2098
500	2102	2093
501	2105	2088
502	2110	2085
503	2114	2080
504	2117	2075
505	2120	2070
506	2125	2066
507	2128	2061
508	2132	2057
509	2135	2052
510	2140	2047
511	2143	2043
512	2147	2038
513	2150	2033
514	2154	2028
515	2157	2023
516	2161	2019
517	2164	2014
518	2168	2009
519	2173	2006
520	2177	2001
521	2180	1996
522	2185	1993
523	2189	1989
524	2193	1984
525	2196	1979
526	2201	1975
527	2204	1970
528	2208	1966
529	2211	1961
530	2216	1957
531	2219	1952
532	2223	1947
533	2226	1943
534	2230	1938
535	2233	1933
536	2237	1928
537	2240	1924
538	2244	1919
539	2248	1915
540	2251	1910
541	2254	1905
542	2258	1900
543	2262	1896
544	2266	1892
545	2269	1887
546	2273	1882
547	2278	1879
548	2282	1875
549	2286	1870
550	2290	1866
551	2294	1862
552	2297	1857
553	2301	1852
554	2304	1847
555	2309	1844
556	2313	1839
557	2316	1834
558	2319	1830
559	2324	1826
560	2328	1821
561	2331	1817
562	2334	1812
563	2339	1808
564	2343	1804
565	2346	1799
566	2350	1794
567	2354	1790
568	2357	1785
569	2361	1781
570	2364	1776
571	2368	1772
572	2373	1768
573	2377	1764
574	2380	1759
575	2386	1756
576	2389	1751
577	2392	1747
578	2396	1742
579	2400	1738
580	2403	1733
581	2407	1728
582	2410	1724
583	2416	1721
584	2419	1716
585	2422	1711
586	2426	1707
587	2431	1703
588	2434	1698
589	2438	1694
590	2441	1689
591	2445	1685
592	2449	1681
593	2452	1676
594	2456	1672
595	2460	1668
596	2464	1663
597	2467	1658
598	2470	1654
599	2474	1649
600	2478	1645
601	2481	1640
602	2485	1636
603	2489	1632
604	2492	1627
605	2496	1623
606	2499	1618
607	2503	1614
608	2507	1610
609	2511	1605
610	2514	1600
611	2518	1596
612	2523	1592
613	2526	1588
614	2530	1583
615	2533	1579
616	2538	1575
617	2541	1571
618	2545	1566
619	2548	1562
620	2553	1558
621	2557	1553
622	2560	1549
623	2564	1545
624	2569	1541
625	2573	1537
626	2576	1532
627	2580	1528
628	2585	1525
629	2589	1520
630	2592	1516
631	2596	1511
632	2600	1507
633	2603	1503
634	2607	1498
635	2610	1494
636	2615	1490
637	2619	1486
638	2622	1481
639	2625	1476
640	2630	1473
641	2633	1468
642	2637	1464
643	2640	1459
644	2644	1455
645	2648	1451
646	2651	1446
647	2655	1442
648	2660	1438
649	2664	1434
650	2668	1430
651	2671	1425
652	2675	1421
653	2679	1417
654	2682	1412
655	2686	1408
656	2689	1404
657	2693	1399
658	2696	1395
659	2700	1391
660	2703	1386
661	2708	1382
662	2711	1378
663	2715	1373
664	2718	1369
665	2723	1365
666	2726	1361
667	2730	1356
668	2733	1352
669	2738	1348
670	2741	1344
671	2745	1340
672	2748	1335
673	2753	1331
674	2757	1327
675	2760	1323
676	2763	1318
677	2768	1315
678	2772	1310
679	2776	1306
680	2779	1302
681	2785	1298
682	2788	1294
683	2792	1290
684	2795	1285
685	2801	1282
686	2804	1277
687	2808	1273
688	2811	1269
689	2815	1265
690	2819	1260
691	2822	1256
692	2826	1251
693	2831	1248
694	2834	1243
695	2838	1239
696	2841	1235
697	2846	1231
698	2849	1227
699	2852	1222
700	2856	1218
701	2860	1214
702	2863	1209
703	2867	1205
704	2870	1201
705	2874	1197
706	2878	1192
707	2881	1188
708	2884	1184
709	2888	1179
710	2892	1175
711	2896	1171
712	2899	1167
713	2903	1162
714	2907	1159
715	2911	1154
716	2914	1150
717	2918	1146
718	2922	1142
719	2926	1137
720	2929	1133
721	2932	1129
722	2937	1125
723	2940	1121
724	2944	1116
725	2947	1112
726	2952	1108
727	2955	1104
728	2958	1099
729	2962	1095
730	2967	1091
731	2970	1087
732	2974	1083
733	2977	1079
734	2981	1074
735	2985	1070
736	2988	1066
737	2992	1062
738	2995	1058
739	2999	1053
740	3003	1049
741	3006	1045
742	3010	1041
743	3014	1037
744	3018	1033
745	3021	1028
746	3025	1024
747	3029	1020
748	3032	1016
749	3036	1012
750	3039	1007
751	3044	1004
752	3048	1000
753	3052	995
754	3055	991
755	3060	987
756	3063	983
757	3067	979
758	3070	974
759	3075	971
760	3078	966
761	3082	962
762	3085	958
763	3090	954
764	3093	950
765	3097	946
766	3100	941
767	3105	937
768	3108	933
769	3111	929
770	3115	925
771	3119	921
772	3122	917
773	3126	912
774	3130	908
775	3133	904
776	3137	900
777	3140	896
778	3144	892
779	3147	887
780	3153	884
781	3157	880
782	3160	875
783	3163	871
784	3169	868
785	3172	863
786	3176	859
787	3179	855
788	3184	851
789	3187	847
790	3191	843
791	3194	839
792	3198	835
793	3202	830
794	3205	826
795	3208	822
796	3213	818
797	3216	814
798	3220	810
799	3223	805
800	3228	801
801	3231	797
802	3235	793
803	3238	789
804	3242	785
805	3246	781
806	3249	777
807	3253	773
808	3256	768
809	3260	764
810	3263	760
811	3267	756
812	3270	752
813	3274	748
814	3278	744
815	3281	739
816	3284	735
817	3289	731
818	3293	727
819	3296	723
820	3299	719
821	3304	715
822	3307	711
823	3311	707
824	3314	703
825	3319	699
826	3322	695
827	3325	690
828	3329	686
829	3333	682
830	3336	678
831	3340	674
832	3343	670
833	3346	666
834	3353	662
835	3356	658
836	3360	654
837	3365	650
838	3368	646
839	3372	642
840	3375	638
841	3380	634
842	3384	630
843	3387	626
844	3391	622
845	3396	618
846	3399	614
847	3403	609
848	3406	605
849	3410	601
850	3414	597
851	3417	593
852	3421	589
853	3426	585
854	3430	581
855	3433	577
856	3437	573
857	3441	569
858	3445	565
859	3448	561
860	3452	557
861	3456	553
862	3459	549
863	3463	545
864	3466	541
865	3470	537
866	3475	533
867	3479	529
868	3483	525
869	3488	521
870	3492	517
871	3495	513
872	3498	509
873	3503	505
874	3506	500
875	3510	496
876	3513	492
877	3517	488
878	3520	484
879	3524	480
880	3527	476
881	3531	472
882	3535	468
883	3538	464
884	3542	460
885	3545	456
886	3552	452
887	3556	448
888	3559	444
889	3566	440
890	3570	436
891	3573	432
892	3576	428
893	3581	424
894	3584	420
895	3588	416
896	3591	412
897	3595	408
898	3599	404
899	3602	400
900	3606	396
901	3610	392
902	3613	388
903	3617	384
904	3620	380
905	3624	376
906	3627	371
907	3631	367
908	3634	363
909	3637	359
910	3642	355
911	3646	351
912	3649	347
913	3652	343
914	3657	339
915	3661	335
916	3664	331
917	3668	327
918	3672	323
919	3676	319
920	3679	315
921	3683	311
922	3687	307
923	3691	303
924	3694	299
925	3698	295
926	3702	291
927	3705	287
928	3709	283
929	3712	279
930	3717	275
931	3721	271
932	3724	267
933	3728	263
934	3732	259
935	3736	255
936	3739	251
937	3743	247
938	3748	243
939	3752	239
940	3755	235
941	3758	231
942	3765	227
943	3768	223
944	3771	219
945	3775	215
946	3779	211
947	3783	207
948	3786	203
949	3790	199
950	3794	195
951	3798	191
952	3801	187
953	3805	183
954	3812	179
955	3816	175
956	3819	171
957	3824	167
958	3827	163
959	3831	159
960	3834	155
961	3839	151
962	3842	147
963	3846	143
964	3849	139
965	3853	135
966	3857	131
967	3860	127
968	3864	123
969	3868	119
970	3871	115
971	3875	111
972	3878	107
973	3882	103
974	3886	99
975	3890	95
976	3893	91
977	3897	87
978	3901	83
979	3905	79
980	3908	75
981	3911	71
982	3916	67
983	3920	63
984	3923	59
985	3926	55
986	3931	51
987	3934	47
988	3938	43
989	3941	39
990	3947	35
991	3951	31
992	3954	27
993	3957	23
994	3962	19
995	3966	15
996	3969	11
997	3973	7
998	3977	3
999	3981	0
