iter	RMSE
165	1969.590147
166	1967.675143
167	1966.911826
168	1964.962044
169	1962.335379
170	1961.552853
171	1959.180921
172	1957.928492
173	1957.555778
174	1956.736925
175	1955.67636
176	1955.090748
177	1953.163068
178	1952.312782
179	1949.891023
180	1947.963193
181	1947.653215
182	1946.118797
183	1944.685936
184	1943.765988
185	1943.519107
186	1942.412054
187	1941.943086
188	1941.333733
189	1939.668113
190	1938.778712
191	1938.113711
192	1935.621057
193	1934.983073
194	1933.859294
195	1933.518093
196	1932.941105
197	1931.629179
198	1931.085271
199	1930.343787
200	1929.023342
201	1927.708813
202	1925.947725
203	1924.643642
204	1924.172676
205	1923.660307
206	1922.957503
207	1921.393454
208	1921.043126
209	1920.544236
210	1920.229003
211	1919.386672
212	1918.4352
213	1917.089438
214	1916.718888
215	1915.997263
216	1915.50715
217	1915.229594
218	1913.747107
219	1911.924756
220	1911.520016
221	1910.777865
222	1910.030253
223	1908.034364
224	1906.502098
225	1905.048497
226	1902.101626
227	1901.743706
228	1901.133217
229	1900.452867
230	1900.110251
231	1899.448068
232	1898.94476
233	1896.307793
234	1893.941153
235	1891.87877
236	1890.413727
237	1888.032768
238	1886.218008
239	1883.849593
240	1882.740077
241	1881.248931
242	1880.565523
243	1878.465935
244	1877.281172
245	1876.019894
246	1874.381204
247	1874.242403
248	1873.809716
249	1873.483637
250	1872.057286
251	1870.538131
252	1869.169041
253	1867.442306
254	1865.698901
255	1865.353361
256	1864.902542
257	1863.579784
258	1861.864476
259	1861.153841
260	1859.392852
261	1858.076911
262	1857.055119
263	1856.008844
264	1855.446091
265	1853.858456
266	1853.433249
267	1853.169426
268	1850.012374
269	1847.990028
270	1847.521033
271	1847.099321
272	1846.321183
273	1845.762067
274	1844.623292
275	1842.853166
276	1842.564192
277	1840.527259
278	1839.69644
279	1837.670382
280	1836.55103
281	1836.148485
282	1834.836788
283	1834.706687
284	1833.978838
285	1833.72952
286	1832.111117
287	1831.043784
288	1829.567104
289	1829.199417
290	1827.695554
291	1827.358989
292	1826.838471
293	1825.775071
294	1824.516927
295	1824.39582
296	1823.643974
297	1823.238391
298	1822.127836
299	1820.607697
300	1820.299743
301	1818.56668
302	1818.450955
303	1816.958882
304	1815.960605
305	1814.594633
306	1813.659584
307	1813.251388
308	1812.034813
309	1810.773716
310	1810.525706
311	1809.238921
312	1807.867342
313	1807.735272
314	1806.242803
315	1805.354189
316	1803.784191
317	1803.556203
318	1802.790033
319	1801.807095
320	1800.782188
321	1798.826576
322	1797.477825
323	1796.245703
324	1795.498097
325	1794.580405
326	1792.769791
327	1791.851349
328	1790.800836
329	1790.595086
330	1790.353314
331	1790.150243
332	1789.167957
333	1788.472749
334	1786.825078
335	1785.567672
336	1785.473399
337	1783.42931
338	1782.403778
339	1781.152943
340	1780.205921
341	1778.987717
342	1777.153348
343	1775.859198
344	1774.625562
345	1773.454921
346	1773.079869
347	1772.899427
348	1771.645708
349	1770.855311
350	1770.073018
351	1769.890155
352	1768.818696
353	1767.67961
354	1766.197947
355	1764.238958
356	1764.149867
357	1762.774414
358	1761.805378
359	1761.467704
360	1760.52893
361	1759.417671
362	1758.301393
363	1757.044193
364	1756.35488
365	1755.26836
366	1755.080226
367	1754.478765
368	1753.082203
369	1751.822141
370	1750.892207
371	1749.430199
372	1747.857888
373	1747.571405
374	1746.489619
375	1744.720713
376	1743.652663
377	1743.523604
378	1742.372213
379	1741.737015
380	1741.348455
381	1740.566631
382	1739.772009
383	1738.951538
384	1737.864984
385	1736.745531
386	1735.977321
387	1735.394032
388	1733.941587
389	1733.051984
390	1731.530837
391	1730.658048
392	1730.368972
393	1729.672242
394	1729.002948
395	1728.472753
396	1727.771993
397	1725.993621
398	1724.859242
399	1723.899315
400	1723.501754
401	1722.646781
402	1721.669308
403	1720.477918
404	1719.550332
405	1719.198077
406	1718.126925
407	1717.125802
408	1715.886633
409	1715.008192
410	1714.171413
411	1714.055488
412	1712.986841
413	1712.875748
414	1711.60881
415	1710.48408
416	1709.329999
417	1708.297891
418	1707.675356
419	1706.933292
420	1706.827399
421	1705.997774
422	1705.122819
423	1704.401752
424	1703.79765
425	1703.262088
426	1702.678317
427	1702.113521
428	1700.952222
429	1700.254009
430	1699.704911
431	1699.343928
432	1698.262079
433	1697.381496
434	1696.667029
435	1695.767866
436	1694.882121
437	1694.086646
438	1693.241552
439	1692.636705
440	1691.969133
441	1690.352729
442	1689.039743
443	1688.59038
444	1687.840394
445	1687.737262
446	1686.038542
447	1685.039879
448	1684.23165
449	1683.732839
450	1682.226462
451	1681.846887
452	1680.670087
453	1679.672297
454	1679.151023
455	1678.145533
456	1677.277879
457	1676.78183
458	1676.184267
459	1675.240302
460	1674.916888
461	1674.409686
462	1673.359685
463	1672.375944
464	1671.059538
465	1670.628253
466	1670.15373
467	1669.722567
468	1668.796432
469	1668.327296
470	1667.881445
471	1666.961466
472	1666.057473
473	1664.677004
474	1663.968487
475	1663.412977
476	1662.391972
477	1661.259015
478	1660.316371
479	1659.279674
480	1658.567966
481	1657.813862
482	1657.126596
483	1656.103008
484	1655.547046
485	1654.832163
486	1654.730459
487	1654.210741
488	1653.556447
489	1652.48865
490	1652.2053
491	1650.792696
492	1650.208427
493	1649.266693
494	1648.513741
495	1647.924465
496	1647.45562
497	1646.528877
498	1645.832051
499	1644.657509
500	1644.017528
501	1643.611327
502	1643.219701
503	1642.935105
504	1642.165096
505	1641.951682
506	1641.252054
507	1640.521443
508	1639.781442
509	1639.692989
510	1639.572194
511	1638.746933
512	1637.319634
513	1636.889488
514	1636.416956
515	1635.77318
516	1635.071336
517	1634.610675
518	1634.172123
519	1633.916387
520	1633.517134
521	1632.412952
522	1631.040383
523	1630.098318
524	1629.275063
525	1628.480902
526	1628.058534
527	1627.349184
528	1627.025689
529	1626.631262
530	1625.70895
531	1625.07929
532	1624.140217
533	1623.627118
534	1623.077783
535	1622.50962
536	1621.887838
537	1621.152685
538	1620.896456
539	1620.839345
540	1620.139212
541	1619.234412
542	1618.890635
543	1618.476294
544	1617.833909
545	1617.012189
546	1616.019268
547	1615.799824
548	1615.434189
549	1614.967438
550	1614.178263
551	1613.919972
552	1613.255852
553	1612.58583
554	1612.251395
555	1611.786176
556	1611.558811
557	1610.479428
558	1609.77673
559	1609.178421
560	1608.344763
561	1607.998419
562	1607.622138
563	1607.167664
564	1606.763142
565	1606.552123
566	1606.227573
567	1606.10041
568	1605.906239
569	1605.317464
570	1604.170085
571	1603.430427
572	1602.161292
573	1601.476355
574	1601.114638
575	1600.744334
576	1600.665854
577	1600.389744
578	1599.422457
579	1598.774869
580	1598.302153
581	1597.371463
582	1596.805134
583	1596.696191
584	1596.293057
585	1595.484526
586	1594.512122
587	1593.818481
588	1593.109914
589	1592.887451
590	1592.419451
591	1591.902519
592	1591.474524
593	1591.141443
594	1590.497738
595	1590.1985
596	1589.818808
597	1589.245267
598	1588.897564
599	1588.424585
600	1588.12206
601	1587.608332
602	1586.844221
603	1586.408649
604	1585.865366
605	1584.890386
606	1584.570739
607	1584.266025
608	1583.859078
609	1583.237248
610	1582.282414
611	1581.141603
612	1580.367962
613	1579.382234
614	1578.520788
615	1578.022488
616	1576.863499
617	1576.081466
618	1575.489222
619	1574.414488
620	1573.599484
621	1572.552271
622	1572.0136
623	1571.080968
624	1570.373394
625	1570.007899
626	1569.624491
627	1569.312107
628	1569.04146
629	1568.743536
630	1568.437808
631	1567.39626
632	1567.061167
633	1566.463696
634	1566.19767
635	1565.624634
636	1565.192713
637	1564.326199
638	1564.072716
639	1563.981502
640	1563.425611
641	1562.636628
642	1562.094059
643	1561.948053
644	1561.493618
645	1560.872756
646	1560.536112
647	1559.702588
648	1558.697457
649	1558.033404
650	1557.799906
651	1557.388518
652	1556.648067
653	1556.057977
654	1555.833568
655	1555.444265
656	1554.634072
657	1554.021704
658	1553.453867
659	1552.767313
660	1552.486398
661	1552.139638
662	1551.824719
663	1551.296164
664	1550.20141
665	1549.390766
666	1548.419407
667	1547.80757
668	1547.605539
669	1547.400637
670	1547.127035
671	1546.40261
672	1546.172864
673	1545.379621
674	1545.183513
675	1544.750306
676	1544.231085
677	1543.879068
678	1543.541824
679	1543.099442
680	1542.271817
681	1541.752284
682	1541.456615
683	1540.967621
684	1540.611656
685	1540.44543
686	1540.248957
687	1539.214903
688	1538.977109
689	1538.600688
690	1537.802751
691	1537.140447
692	1536.943098
693	1536.365327
694	1535.828045
695	1535.290775
696	1534.600421
697	1534.131534
698	1533.908429
699	1533.321097
700	1532.622174
701	1531.666218
702	1530.977113
703	1530.654786
704	1530.306973
705	1529.883435
706	1529.25064
707	1528.386177
708	1527.711753
709	1527.265324
710	1526.789883
711	1525.997455
712	1525.809442
713	1525.482865
714	1525.208705
715	1524.740694
716	1524.300841
717	1524.055973
718	1523.698983
719	1523.337341
720	1523.066303
721	1522.402827
722	1521.901565
723	1521.316376
724	1520.868099
725	1520.225063
726	1519.76742
727	1519.578238
728	1519.347496
729	1519.18097
730	1519.036134
731	1518.541984
732	1517.672485
733	1516.737486
734	1516.237388
735	1515.608504
736	1515.203328
737	1514.98127
738	1514.707622
739	1514.357341
740	1514.066973
741	1513.523343
742	1512.99964
743	1512.610601
744	1512.068474
745	1511.494358
746	1510.868975
747	1510.569851
748	1510.218359
749	1509.573877
750	1509.205866
751	1508.972014
752	1508.81407
753	1508.306258
754	1507.535193
755	1506.603896
756	1506.219756
757	1505.909352
758	1505.195456
759	1504.774296
760	1504.185271
761	1503.929371
762	1503.349357
763	1502.711961
764	1501.953622
765	1501.498367
766	1500.984304
767	1500.801371
768	1500.45548
769	1500.220627
770	1499.779533
771	1499.353479
772	1498.94543
773	1498.120625
774	1497.478368
775	1497.284242
776	1496.729068
777	1496.510932
778	1496.005224
779	1495.56596
780	1495.287258
781	1494.616914
782	1494.435253
783	1493.739521
784	1493.465846
785	1493.186613
786	1493.020863
787	1492.694068
788	1492.516844
789	1492.313831
790	1491.924266
791	1491.442275
792	1491.042961
793	1490.603914
794	1489.848438
795	1489.558424
796	1489.394266
797	1489.071736
798	1488.603291
799	1488.221061
800	1487.663164
801	1487.426865
802	1486.666322
803	1486.384477
804	1485.874612
805	1485.428719
806	1485.367666
807	1485.308848
808	1485.015695
809	1484.606477
810	1484.217328
811	1483.955543
812	1483.546199
813	1483.150291
814	1482.515316
815	1482.028055
816	1481.642891
817	1481.486036
818	1481.341427
819	1480.84033
820	1480.583451
821	1479.737356
822	1479.335392
823	1478.867766
824	1478.812536
825	1478.39271
826	1478.240415
827	1477.986334
828	1477.772244
829	1477.294189
830	1477.053354
831	1476.801288
832	1476.720321
833	1476.472296
834	1476.134883
835	1475.93892
836	1475.460431
837	1475.108678
838	1474.686666
839	1474.083947
840	1473.952806
841	1473.368702
842	1473.013124
843	1472.486154
844	1472.060471
845	1471.645452
846	1471.346671
847	1471.081601
848	1470.823433
849	1470.480766
850	1469.827498
851	1469.203833
852	1469.007955
853	1468.973263
854	1468.559623
855	1468.202097
856	1467.823514
857	1467.364533
858	1466.646333
859	1466.006781
860	1465.579372
861	1465.264516
862	1464.535238
863	1463.939331
864	1463.39786
865	1463.054761
866	1462.910138
867	1462.490403
868	1461.756888
869	1461.307758
870	1461.045474
871	1460.836488
872	1460.307485
873	1459.876004
874	1459.331366
875	1458.74868
876	1458.476539
877	1458.330504
878	1457.626461
879	1457.241159
880	1457.164753
881	1456.7879
882	1456.665035
883	1456.181505
884	1455.991607
885	1455.813572
886	1455.710539
887	1455.506593
888	1454.570815
889	1454.143741
890	1453.624465
891	1453.28113
892	1452.573682
893	1452.053335
894	1451.667389
895	1451.168914
896	1450.789766
897	1450.562342
898	1450.474517
899	1450.174184
900	1449.619322
901	1449.161697
902	1448.7295
903	1448.410046
904	1448.069912
905	1447.705149
906	1447.287075
907	1446.919311
908	1446.538667
909	1446.273171
910	1445.763269
911	1445.451853
912	1445.227866
913	1444.550784
914	1444.199198
915	1443.791508
916	1443.572425
917	1443.217295
918	1443.010676
919	1442.6593
920	1442.291628
921	1441.179734
922	1441.02884
923	1440.823684
924	1440.475
925	1440.185486
926	1439.925804
927	1439.656686
928	1439.286593
929	1439.010453
930	1438.290774
931	1438.043947
932	1437.722328
933	1437.110395
934	1436.79183
935	1436.368285
936	1436.299417
937	1435.969723
938	1435.889086
939	1435.572244
940	1435.160318
941	1434.936102
942	1434.598905
943	1433.931495
944	1433.843515
945	1433.607331
946	1433.14599
947	1432.565899
948	1432.282998
949	1432.093633
950	1431.376829
951	1431.116607
952	1430.807824
953	1430.522268
954	1430.163219
955	1429.973995
956	1429.734679
957	1429.252618
958	1429.007772
959	1428.618597
960	1428.253776
961	1428.15451
962	1427.911639
963	1427.482846
964	1427.142124
965	1426.933017
966	1426.586968
967	1426.172558
968	1425.755678
969	1425.196341
970	1424.76038
971	1424.4596
972	1423.869054
973	1423.679444
974	1423.43411
975	1423.105682
976	1422.784915
977	1422.140559
978	1421.854191
979	1421.610092
980	1421.306993
981	1420.980248
982	1420.634248
983	1420.267189
984	1420.202167
985	1419.863226
986	1419.55307
987	1419.317229
988	1418.750785
989	1418.646889
990	1418.150136
991	1417.757925
992	1417.47146
993	1417.354926
994	1417.022463
995	1416.408439
996	1416.045898
997	1415.445096
998	1415.243712
999	1414.920011
